Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,TLY 1,TLY 2,TLY 3,TLY 4,TLY 5,TLY 6,TLY 7,TLY 8,ART 1,ART 2,ART 3,ART 4,ART 5,ART 6,ART 7,ART 8,CJA 1,CJA 2,CJA 3,CJA 4,CJA 5,CJA 6,CJA 7,CJA 8,Notes
07/22/2026 02:28 PM,Calamity Jane,Cloudy,90,319,321,Stress-Related - Yawn,,323,338,Stress-Related - Vigilance,,415,427,Stress-Related - Vigilance,,430,439,Stress-Related - Self-groom,,439,500,Stress-Related - Vigilance,,500,511,Stress-Related - Self-groom,,521,525,Stress-Related - Self-scratch,,546,643,Stress-Related - Self-groom,,643,651,Stress-Related - Vigilance,,659,827,Stress-Related - Self-groom,,849,859,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Other,Other,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,
07/22/2026 02:16 PM,Terri-Lynn,Cloudy,90,312,314,Stress-Related - Vigilance,,503,506,Stress-Related - Vigilance,,554,603,Stress-Related - Vigilance,,603,608,Stress-Related - Self-groom,,724,1039,Affiliative - Contact sit,Calamity Jane,1042,1103,Stress-Related - Vigilance,,1302,1332,Stress-Related - Self-groom,,1342,1346,Stress-Related - Self-scratch,,1354,1404,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Other,Rest,Rest,Rest,Other,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Body contact,Less than 2 m,Less than 2 m,
07/22/2026 11:29 AM,Artemis,Cloudy,90,0,220,Affiliative - Contact sit,Calamity Jane,0,37,Stress-Related - Vigilance,,49,118,Stress-Related - Vigilance,,127,208,Affiliative - Mutual grooming,Calamity Jane,223,303,Stress-Related - Vigilance,,436,445,Stress-Related - Self-groom,,453,456,Stress-Related - Self-groom,,744,817,Stress-Related - Vigilance,,822,838,Stress-Related - Vigilance,,930,937,Stress-Related - Vigilance,,1009,1137,Stress-Related - Vigilance,,1243,1329,Stress-Related - Vigilance,,1349,1358,Stress-Related - Vigilance,,1407,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Social,Other,Rest,Other,Rest,Rest,Locomotion,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,,,,,,,,,Body contact,Body contact,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,
07/20/2026 12:24 PM,Artemis,Sunny,92,0,318,Stress-Related - Vigilance,,334,347,Stress-Related - Vigilance,,414,420,Stress-Related - Vigilance,,325,341,Stress-Related - Vigilance,,615,628,Stress-Related - Vigilance,,605,705,Stress-Related - Pacing,,706,726,Affiliative - Contact sit,Calamity Jane,707,726,Affiliative - Mutual grooming,Calamity Jane,726,753,Stress-Related - Vigilance,,753,757,Stress-Related - Self-groom,,757,1041,Stress-Related - Vigilance,,1056,1123,Stress-Related - Vigilance,,1132,1138,Stress-Related - Vigilance,,1144,1236,Stress-Related - Vigilance,,1254,1320,Stress-Related - Vigilance,,1341,1447,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Locomotion,Other,Other,Other,Other,Other,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,
07/20/2026 12:05 PM,Terri-Lynn,Sunny,92,56,145,Stress-Related - Vigilance,,145,149,Stress-Related - Self-groom,,152,213,Stress-Related - Vigilance,,259,337,Affiliative - Contact sit,Artemis,302,332,Affiliative - Mutual grooming,Artemis,332,553,Stress-Related - Vigilance,,630,716,Affiliative - Contact sit,Artemis,639,644,Stress-Related - Vigilance,,658,707,Stress-Related - Self-groom,,721,752,Stress-Related - Vigilance,,1028,1048,Stress-Related - Vigilance,,1127,1141,Stress-Related - Vigilance,,1144,1151,Stress-Related - Self-groom,,1158,1201,Stress-Related - Self-scratch,,1205,1222,Stress-Related - Self-groom,,1226,1236,Stress-Related - Vigilance,,1238,1247,Stress-Related - Self-groom,,1251,1318,Stress-Related - Vigilance,,1326,1330,Stress-Related - Self-scratch,,1330,1435,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Locomotion,Other,Rest,Other,Other,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,
07/20/2026 11:49 AM,Calamity Jane,Sunny,92,0,22,Stress-Related - Vigilance,,22,38,Stress-Related - Self-groom,,38,134,Stress-Related - Vigilance,,157,259,Stress-Related - Vigilance,,300,314,Stress-Related - Self-groom,,318,327,Stress-Related - Vigilance,,346,353,Stress-Related - Self-groom,,354,403,Stress-Related - Vigilance,,403,412,Stress-Related - Self-groom,,421,427,Stress-Related - Self-scratch,,428,459,Stress-Related - Vigilance,,501,507,Stress-Related - Self-groom,,507,515,Stress-Related - Vigilance,,525,627,Stress-Related - Vigilance,,633,831,Stress-Related - Vigilance,,911,1407,Affiliative - Contact sit,Terri-Lynn,913,941,Affiliative - Mutual grooming,Terri-Lynn,942,1020,Stress-Related - Vigilance,,1020,1026,Affiliative - Give grooming,Terri-Lynn,1026,1036,Stress-Related - Vigilance,,1038,1104,Affiliative - Mutual grooming,Terri-Lynn,1104,1359,Stress-Related - Vigilance,,1359,1403,Affiliative - Give grooming,Terri-Lynn,1404,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Other,Social,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Body contact,Body contact,Body contact,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,
07/17/2026 03:18 PM,Calamity Jane,Sunny,95,433,441,Stress-Related - Vigilance,,726,801,Stress-Related - Vigilance,,818,842,Stress-Related - Vigilance,,931,942,Stress-Related - Vigilance,,1038,1045,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,
07/17/2026 03:03 PM,Artemis,Sunny,95,0,115,Stress-Related - Vigilance,,119,132,Affiliative - Give grooming,Terri-Lynn,135,210,Stress-Related - Vigilance,,215,228,Affiliative - Mutual grooming,Calamity Jane,232,247,Affiliative - Receive grooming,Calamity Jane,247,255,Affiliative - Give grooming,Calamity Jane,258,517,Stress-Related - Vigilance,,427,502,Affiliative - Contact sit,Calamity Jane,622,709,Stress-Related - Vigilance,,710,724,Stress-Related - Self-groom,,731,754,Stress-Related - Vigilance,,810,826,Stress-Related - Vigilance,,841,856,Stress-Related - Self-groom,,913,933,Stress-Related - Self-groom,,946,1006,Stress-Related - Vigilance,,1411,1416,Stress-Related - Self-groom,,1431,1440,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Rest,Rest,Other,Rest,Rest,Over 5 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Over 5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,
07/17/2026 02:47 PM,Terri-Lynn,Sunny,95,54,59,Stress-Related - Vigilance,,106,145,Stress-Related - Vigilance,,340,359,Stress-Related - Vigilance,,425,432,Stress-Related - Vigilance,,632,707,Stress-Related - Vigilance,,708,722,Stress-Related - Self-groom,,722,735,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,
07/17/2026 02:22 PM,Calamity Jane,Sunny,95,147,151,Stress-Related - Vigilance,,426,445,Stress-Related - Self-groom,,446,534,Stress-Related - Vigilance,,535,549,Stress-Related - Self-groom,,556,610,Affiliative - Greet,Terri-Lynn,617,644,Affiliative - Mutual grooming,Terri-Lynn,656,734,Stress-Related - Self-groom,,734,1027,Stress-Related - Vigilance,,1049,1229,Stress-Related - Vigilance,,1257,1308,Stress-Related - Self-groom,,1308,1357,Stress-Related - Vigilance,,1359,1436,Stress-Related - Self-groom,,1439,1449,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Social,Other,Other,Other,Other,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,2-5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Over 5 m,2-5 m,,,,,,,,,
